time, price
14:23:52,"42,650.71"
14:29:38,"42,635.15"
14:31:35,"42,654.95"
14:33:48,"42,732.09"
14:35:41,"42,707.60"
14:37:41,"42,747.06"
14:39:35,"42,732.88"
14:41:42,"42,748.55"
14:43:40,"42,746.19"
14:45:37,"42,745.44"
14:47:35,"42,789.60"
14:49:35,"42,852.58"
14:51:39,"42,830.00"
14:53:36,"42,781.35"
14:55:35,"42,755.28"
14:57:34,"42,774.56"
14:59:35,"42,785.78"
15:01:37,"42,774.12"
15:03:35,"42,776.15"
15:05:35,"42,782.70"
15:07:36,"42,869.67"
15:09:40,"42,956.04"
15:11:35,"42,887.20"
15:13:36,"42,921.55"
15:15:38,"42,985.29"
15:17:34,"43,033.90"
15:19:35,"43,014.65"
15:21:38,"42,949.39"
15:23:35,"42,944.24"
15:25:36,"42,936.23"
15:27:35,"42,924.79"
15:29:35,"42,960.20"
15:31:41,"42,997.02"
15:33:37,"43,030.49"
15:35:37,"42,998.14"
15:37:40,"42,981.90"
15:39:36,"43,074.18"
15:41:37,"43,082.86"
15:43:38,"43,117.96"
15:45:35,"43,165.32"
15:47:00,"43,166.32"
15:48:00,"43,137.93"
15:49:00,"43,131.37"
15:51:00,"43,126.29"
15:53:00,"43,115.14"
15:55:00,"43,161.70"
15:57:00,"43,150.18"
15:59:00,"43,163.60"
16:01:00,"43,207.23"
16:03:00,"43,340.99"
16:05:00,"43,372.81"
16:07:00,"43,422.72"
16:09:00,"43,381.71"
16:11:00,"43,385.68"
16:13:00,"43,323.13"
16:15:00,"43,353.31"
02-02 16:17,"43,353.62"
02-02 16:19,"43,345.88"
02-02 16:21,"43,289.10"
02-02 16:23,"43,261.33"
02-02 16:25,"43,249.00"
02-02 16:27,"43,191.84"
02-02 16:29,"43,187.34"
02-02 16:31,"43,176.98"
02-02 16:35,"43,132.15"
02-02 16:36,"43,139.98"
02-02 16:38,"43,190.86"
02-02 16:39,"43,223.04"
02-02 16:41,"43,198.61"
02-02 16:42,"43,180.24"
02-02 16:43,"43,180.24"
02-02 16:45,"43,122.61"
02-02 16:47,"43,120.44"
02-02 16:48,"43,113.95"
02-02 16:51,"43,209.14"
02-02 16:52,"43,212.69"
02-02 16:53,"43,212.69"
02-02 16:55,"43,237.23"
02-02 16:57,"43,230.96"
02-02 16:59,"43,203.29"
02-02 17:01,"43,202.89"
02-02 17:03,"43,189.28"
02-02 17:05,"43,196.44"
02-02 17:07,"43,216.88"
02-02 17:09,"43,207.57"
02-02 17:11,"43,190.89"
02-02 17:13,"43,220.03"
02-02 17:15,"43,240.74"
02-02 17:17,"43,254.81"
02-02 17:19,"43,243.21"
02-02 17:21,"43,217.27"
02-02 17:23,"43,209.30"
02-02 17:25,"43,222.75"
02-02 17:27,"43,203.44"
02-02 17:29,"43,216.01"
02-02 17:31,"43,217.42"
02-02 17:33,"43,230.39"
02-02 17:35,"43,218.06"
02-02 17:37,"43,227.20"
02-02 17:39,"43,246.61"
02-03 14:14,"43,034.85"
02-03 14:15,"43,043.81"
02-03 14:17,"43,035.63"
02-03 14:19,"43,043.44"
02-03 14:21,"43,034.10"
02-03 14:23,"43,042.19"
02-03 14:25,"43,051.47"
02-03 14:27,"43,046.73"
02-03 14:29,"43,035.99"
02-03 14:31,"43,038.33"
02-03 14:33,"43,045.54"
02-03 14:35,"43,043.42"
02-03 14:37,"43,048.33"
02-03 14:39,"43,056.92"
02-03 14:41,"43,052.16"
02-03 14:43,"43,038.87"
02-03 14:45,"43,045.18"
02-03 14:47,"43,039.15"
02-03 14:49,"43,034.70"
02-03 14:51,"43,019.37"
02-03 14:53,"43,035.92"
02-03 14:55,"43,029.94"
02-03 14:57,"43,030.27"
02-03 14:59,"43,030.23"
02-03 15:01,"43,029.62"
02-03 15:03,"43,008.40"
02-03 15:05,"42,962.56"
02-03 15:07,"42,962.39"
02-03 15:09,"42,937.64"
02-03 15:11,"42,883.17"
02-03 15:13,"42,887.95"
02-03 15:15,"42,938.72"
02-03 15:17,"42,932.71"
02-03 15:19,"42,991.06"
02-03 15:21,"42,988.73"
02-03 15:23,"42,999.34"
02-03 15:25,"43,005.65"
02-03 15:27,"43,007.99"
02-03 15:29,"43,064.14"
02-03 15:31,"43,077.71"
02-03 15:33,"43,069.15"
02-03 15:35,"43,064.32"
02-03 15:37,"43,051.98"
02-03 15:39,"43,055.36"
02-03 15:41,"43,062.41"
02-03 15:43,"43,108.74"
02-03 15:45,"43,138.23"
02-03 15:47,"43,128.79"
02-03 15:49,"43,114.70"
02-03 15:51,"43,106.62"
02-03 15:53,"43,145.74"
02-03 15:55,"43,125.33"
02-03 15:57,"43,091.09"
02-03 15:59,"43,092.36"
02-03 16:01,"43,104.34"
02-03 16:03,"43,120.82"
02-03 16:05,"43,120.73"
02-03 16:07,"43,086.27"
02-03 16:09,"43,133.75"
02-03 16:11,"43,136.59"
02-03 16:13,"43,133.66"
02-03 16:15,"43,131.34"
02-03 16:17,"43,142.54"
02-03 16:19,"43,156.53"
02-03 16:21,"43,162.50"
02-03 16:23,"43,143.29"
02-03 16:25,"43,147.22"
02-03 16:27,"43,133.97"
02-03 16:29,"43,125.85"
02-03 16:31,"43,120.25"
02-03 16:33,"43,128.55"
02-03 16:35,"43,135.97"
02-03 16:37,"43,111.90"
02-03 16:39,"43,099.53"
02-03 16:41,"43,090.53"
02-03 16:43,"43,080.15"
02-03 16:45,"43,083.71"
02-03 16:47,"43,063.94"
02-03 16:49,"43,068.79"
02-03 16:51,"43,069.14"
02-03 16:53,"43,069.95"
02-03 16:55,"43,086.89"
02-03 16:57,"43,085.82"
02-03 16:59,"43,097.47"
02-03 17:01,"43,082.12"
02-03 17:03,"43,084.44"
02-03 17:05,"43,099.63"
02-03 17:07,"43,104.63"
02-03 17:09,"43,120.90"
02-03 17:11,"43,125.07"
02-03 17:13,"43,124.31"
02-03 17:15,"43,126.52"
02-03 17:17,"43,114.28"
02-03 17:19,"43,113.08"
02-03 17:21,"43,104.40"
02-03 17:23,"43,095.38"
02-03 17:25,"43,095.29"
02-03 17:27,"43,088.45"
02-03 17:29,"43,093.15"
02-03 17:31,"43,090.04"
02-03 17:33,"43,097.29"
02-03 17:35,"43,093.01"
02-03 17:37,"43,100.50"
02-03 17:39,"43,114.63"
02-03 17:41,"43,111.84"
02-03 17:43,"43,163.39"
02-03 17:45,"43,178.67"
02-03 17:47,"43,188.36"
02-03 17:49,"43,233.78"
02-03 17:51,"43,237.52"
02-03 17:53,"43,244.03"
02-03 17:55,"43,244.85"
02-03 17:57,"43,242.09"
02-03 17:59,"43,230.98"
02-03 18:01,"43,213.96"
02-03 18:03,"43,206.89"
02-03 18:05,"43,185.28"
02-03 18:07,"43,200.83"
02-03 18:09,"43,221.17"
02-03 18:11,"43,219.69"
02-03 18:13,"43,199.66"
02-03 18:15,"43,193.66"
02-03 18:17,"43,201.30"
02-03 18:19,"43,160.52"
02-03 18:21,"43,153.17"
02-03 18:23,"43,174.18"
02-03 18:25,"43,179.09"
02-03 18:27,"43,181.10"
02-03 18:29,"43,188.40"
02-03 18:31,"43,195.50"
02-03 18:33,"43,107.04"
02-03 18:35,"43,083.51"
02-03 18:37,"43,090.83"
02-03 18:39,"43,069.93"
02-03 18:41,"43,068.69"
02-03 18:43,"43,025.16"
02-03 18:45,"43,036.62"
02-03 18:47,"43,022.83"
02-03 18:49,"43,063.54"
02-03 18:51,"43,066.61"
02-03 18:53,"43,062.32"
02-03 18:55,"43,055.98"
02-03 18:57,"43,059.46"
02-03 18:59,"43,051.84"
02-03 19:01,"43,056.81"
02-03 19:03,"43,036.29"
02-03 19:05,"43,043.41"
02-03 19:07,"43,049.32"
02-03 19:09,"43,062.85"
02-03 19:11,"43,057.78"
02-03 19:13,"43,049.22"
02-03 19:15,"43,048.75"
02-03 19:17,"43,042.56"
02-03 19:19,"43,066.52"
02-03 19:21,"43,066.87"
02-03 19:23,"43,048.34"
02-03 19:25,"43,043.12"
02-03 19:27,"43,042.73"
02-03 19:29,"43,038.91"
02-03 19:31,"43,028.10"
02-03 19:33,"43,033.91"
02-03 19:35,"43,031.40"
02-03 19:37,"43,032.68"
02-03 19:39,"43,025.10"
02-03 19:41,"43,024.10"
02-03 19:43,"43,011.49"
02-03 19:45,"43,006.99"
02-03 19:47,"43,018.32"
02-03 19:49,"43,005.57"
02-03 19:51,"43,005.61"
02-03 19:53,"43,005.99"
02-03 19:55,"43,024.23"
02-03 19:57,"43,020.76"
02-03 19:59,"43,028.18"
02-03 20:01,"43,031.39"
02-03 20:03,"43,020.03"
02-03 20:05,"43,019.84"
02-03 20:07,"43,022.31"
02-03 20:09,"43,010.39"
02-03 20:11,"42,997.74"
02-03 20:13,"43,012.53"
02-03 20:15,"43,019.04"
02-03 20:17,"43,009.05"
02-03 20:19,"43,015.87"
02-03 20:21,"43,012.98"
02-03 20:23,"43,005.55"
02-03 20:25,"43,005.41"
02-03 20:27,"43,004.02"
02-03 20:29,"43,013.72"
02-03 20:31,"43,025.79"
02-03 20:33,"43,010.74"
02-03 20:35,"43,041.83"
02-03 20:37,"43,060.57"
02-03 20:39,"43,079.33"
02-03 20:41,"43,065.27"
02-03 20:43,"43,073.51"
02-03 20:45,"43,073.38"
02-03 20:47,"43,066.31"
02-03 20:49,"43,060.70"
02-03 20:51,"43,062.53"
02-03 20:53,"43,062.43"
02-03 20:55,"43,054.42"
02-03 20:57,"43,055.29"
02-03 20:59,"43,055.29"
02-03 21:01,"43,049.18"
02-03 21:03,"43,066.10"
02-03 21:05,"43,072.73"
02-03 21:07,"43,074.03"
02-03 21:09,"43,067.16"
02-03 21:11,"43,067.91"
02-03 21:13,"43,066.45"
02-03 21:15,"43,067.54"
02-03 21:17,"43,066.77"
02-03 21:19,"43,056.60"
02-03 21:21,"43,056.92"
02-03 21:23,"43,055.74"
02-03 21:25,"43,046.94"
02-03 21:27,"43,035.88"
02-03 21:29,"43,021.55"
02-03 21:31,"43,033.25"
02-03 21:33,"43,030.72"
02-03 21:35,"43,023.54"
02-03 21:37,"43,019.81"
02-03 21:39,"43,020.60"
02-03 21:41,"43,015.71"
02-03 21:43,"43,014.27"
02-03 21:45,"43,014.67"
02-03 21:47,"43,027.26"
02-03 21:49,"43,024.67"
02-03 21:51,"43,014.36"
02-03 21:53,"43,015.71"
02-03 21:55,"43,009.69"
02-03 21:57,"43,023.48"
02-03 21:59,"43,029.81"
02-03 22:01,"43,029.55"
02-03 22:03,"43,013.83"
02-03 22:05,"43,018.42"
02-03 22:07,"43,016.45"
02-03 22:09,"43,027.87"
02-03 22:11,"43,026.88"
02-03 22:13,"43,011.02"
02-03 22:15,"43,001.40"
02-03 22:17,"43,017.66"
02-03 22:19,"43,026.12"
02-03 22:21,"43,029.02"
02-03 22:23,"43,027.47"
02-03 22:25,"43,033.54"
02-03 22:27,"43,047.36"
02-03 22:29,"43,049.85"
02-03 22:31,"43,050.47"
02-03 22:33,"43,050.60"
02-03 22:35,"43,059.34"
02-03 22:37,"43,063.56"
02-03 22:39,"43,063.68"
02-03 22:41,"43,063.75"
02-03 22:43,"43,063.31"
02-03 22:45,"43,058.66"
02-03 22:47,"43,047.43"
02-03 22:49,"43,045.45"
02-03 22:51,"43,044.68"
02-03 22:53,"43,045.10"
02-03 22:55,"43,042.41"
02-03 22:57,"43,038.26"
02-03 22:59,"43,011.67"
02-03 23:01,"43,021.66"
02-03 23:03,"43,025.68"
02-03 23:05,"43,032.81"
02-03 23:07,"43,043.90"
02-03 23:09,"43,055.61"
02-03 23:11,"43,058.22"
02-03 23:13,"43,055.83"
02-03 23:15,"43,056.52"
02-03 23:17,"43,055.31"
02-03 23:19,"43,034.63"
02-03 23:21,"43,026.01"
02-03 23:23,"43,007.95"
02-03 23:25,"42,983.89"
02-03 23:27,"42,991.15"
02-03 23:29,"42,999.37"
02-03 23:31,"42,999.37"
02-03 23:33,"42,966.38"
02-03 23:35,"42,962.13"
02-03 23:37,"42,974.21"
02-03 23:39,"42,948.87"
02-03 23:41,"42,952.91"
02-03 23:43,"42,947.52"
02-03 23:45,"42,944.95"
02-03 23:47,"42,956.94"
02-03 23:49,"42,957.96"
02-03 23:51,"42,961.74"
02-03 23:53,"42,975.04"
02-03 23:55,"42,972.06"
02-03 23:57,"42,971.85"
02-03 23:59,"42,980.85"
02-04 00:01,"42,994.03"
02-04 00:03,"42,983.86"
02-04 00:05,"42,991.70"
02-04 00:07,"42,983.03"
02-04 00:09,"42,972.35"
02-04 00:11,"42,961.30"
02-04 00:13,"42,937.06"
02-04 00:15,"42,942.92"
02-04 00:17,"42,960.06"
02-04 00:19,"42,986.90"
02-04 00:21,"42,992.57"
02-04 00:23,"42,975.15"
02-04 00:25,"42,953.08"
02-04 00:27,"42,919.87"
02-04 00:29,"42,923.41"
02-04 00:31,"42,913.13"
02-04 00:33,"42,914.84"
02-04 00:35,"42,891.11"
02-04 00:37,"42,927.29"
02-04 00:39,"42,948.55"
02-04 00:41,"42,974.78"
02-04 00:43,"42,970.60"
02-04 00:45,"42,974.63"
02-04 00:47,"42,966.18"
02-04 00:49,"42,963.39"
02-04 00:51,"42,968.95"
02-04 00:53,"42,980.88"
02-04 00:55,"42,966.92"
02-04 00:57,"42,984.21"
02-04 00:59,"42,991.44"
02-04 01:01,"42,995.85"
02-04 01:03,"42,973.84"
02-04 01:05,"42,964.10"
02-04 01:07,"42,963.26"
02-04 01:09,"42,954.36"
02-04 01:11,"42,952.28"
02-04 01:13,"42,936.80"
02-04 01:15,"42,945.79"
02-04 01:17,"42,948.92"
02-04 01:19,"42,959.05"
02-04 01:21,"42,974.85"
02-04 01:23,"42,974.48"
02-04 01:25,"42,965.37"
02-04 01:27,"42,977.79"
02-04 01:29,"42,982.06"
02-04 01:31,"42,987.32"
02-04 01:33,"42,986.22"
02-04 01:35,"42,986.35"
02-04 01:37,"42,996.71"
02-04 01:39,"42,996.02"
02-04 01:41,"43,008.75"
02-04 01:43,"43,003.61"
02-04 01:45,"42,998.45"
02-04 01:47,"42,999.03"
02-04 01:49,"42,994.87"
02-04 01:51,"43,009.84"
02-04 01:53,"43,018.28"
02-04 01:55,"43,022.79"
02-04 01:57,"43,022.38"
02-04 01:59,"43,022.54"
02-04 02:01,"43,014.97"
02-04 02:03,"43,032.53"
02-04 02:05,"43,022.65"
02-04 02:07,"43,017.29"
02-04 02:09,"43,012.15"
02-04 02:11,"43,008.35"
02-04 02:13,"43,016.76"
02-04 02:15,"43,026.16"
02-04 02:17,"43,035.23"
02-04 02:19,"43,045.50"
02-04 02:21,"43,039.38"
02-04 02:23,"43,034.91"
02-04 02:25,"43,037.55"
02-04 02:27,"43,024.89"
02-04 02:29,"43,029.21"
02-04 02:31,"43,027.51"
02-04 02:33,"43,017.49"
02-04 02:35,"43,014.11"
02-04 02:37,"43,016.13"
02-04 02:39,"43,015.41"
02-04 02:41,"43,013.51"
02-04 02:43,"43,010.02"
02-04 02:45,"43,008.68"
02-04 02:47,"43,010.78"
02-04 02:49,"43,008.11"
02-04 02:51,"43,014.12"
02-04 02:53,"43,008.37"
02-04 02:55,"43,005.66"
02-04 02:57,"43,008.30"
02-04 02:59,"43,005.80"
02-04 03:01,"43,003.47"
02-04 03:03,"43,010.79"
02-04 03:05,"43,015.53"
02-04 03:07,"43,014.69"
02-04 03:09,"43,014.55"
02-04 03:11,"43,014.07"
02-04 03:13,"43,013.55"
02-04 03:15,"43,016.30"
02-04 03:17,"43,022.42"
02-04 03:19,"43,023.26"
02-04 03:21,"43,024.11"
02-04 03:23,"43,014.40"
02-04 03:25,"43,018.19"
02-04 03:27,"43,021.41"
02-04 03:29,"43,022.75"
02-04 03:31,"43,020.45"
02-04 03:33,"43,023.06"
02-04 03:35,"43,020.55"
02-04 03:37,"43,021.75"
02-04 03:39,"43,022.09"
02-04 03:41,"43,021.87"
02-04 03:43,"43,022.78"
02-04 03:45,"43,027.20"
02-04 03:47,"43,025.74"
02-04 03:49,"43,015.69"
02-04 03:51,"43,007.33"
02-04 03:53,"43,008.27"
02-04 03:55,"43,010.67"
02-04 03:57,"43,009.58"
02-04 03:59,"43,010.49"
02-04 04:01,"43,014.08"
02-04 04:03,"43,012.57"
02-04 04:05,"42,999.49"
02-04 04:07,"42,993.06"
02-04 04:09,"42,988.98"
02-04 04:11,"42,981.87"
02-04 04:13,"42,978.49"
02-04 04:15,"42,973.04"
02-04 04:17,"42,972.73"
02-04 04:19,"42,966.13"
02-04 04:21,"42,950.16"
02-04 04:23,"42,949.56"
02-04 04:25,"42,942.71"
02-04 04:27,"42,939.83"
02-04 04:29,"42,926.48"
02-04 04:31,"42,914.51"
02-04 04:33,"42,913.60"
02-04 04:35,"42,933.34"
02-04 04:37,"42,926.38"
02-04 04:39,"42,927.37"
02-04 04:41,"42,934.51"
02-04 04:43,"42,927.12"
02-04 04:45,"42,927.16"
02-04 04:47,"42,919.37"
02-04 04:49,"42,921.31"
02-04 04:51,"42,923.22"
02-04 04:53,"42,924.98"
02-04 04:55,"42,922.91"
02-04 04:57,"42,917.90"
02-04 04:59,"42,897.57"
02-04 05:01,"42,906.99"
02-04 05:03,"42,899.61"
02-04 05:05,"42,898.57"
02-04 05:07,"42,891.30"
02-04 05:09,"42,886.93"
02-04 05:11,"42,893.71"
02-04 05:13,"42,912.34"
02-04 05:15,"42,927.68"
02-04 05:17,"42,929.69"
02-04 05:19,"42,871.61"
02-04 05:21,"42,882.90"
02-04 05:23,"42,891.52"
02-04 05:25,"42,900.77"
02-04 05:27,"42,908.71"
02-04 05:29,"42,914.70"
02-04 05:31,"42,906.94"
02-04 05:33,"42,909.03"
02-04 05:35,"42,887.01"
02-04 05:37,"42,877.34"
02-04 05:39,"42,888.09"
02-04 05:41,"42,890.87"
02-04 05:43,"42,882.82"
02-04 05:45,"42,887.94"
02-04 05:47,"42,890.75"
02-04 05:49,"42,899.72"
02-04 05:51,"42,898.68"
02-04 05:53,"42,896.94"
02-04 05:55,"42,887.98"
02-04 05:57,"42,882.60"
02-04 05:59,"42,879.55"
02-04 06:01,"42,874.21"
02-04 06:03,"42,868.66"
02-04 06:05,"42,892.76"
02-04 06:07,"42,891.62"
02-04 06:09,"42,908.92"
02-04 06:11,"42,914.25"
02-04 06:13,"42,908.92"
02-04 06:15,"42,902.69"
02-04 06:17,"42,902.50"
02-04 06:19,"42,912.29"
02-04 06:21,"42,907.29"
02-04 06:23,"42,889.86"
02-04 06:25,"42,870.07"
02-04 06:27,"42,848.39"
02-04 06:29,"42,832.20"
02-04 06:31,"42,821.54"
02-04 06:33,"42,806.76"
02-04 06:35,"42,803.56"
02-04 06:37,"42,814.16"
02-04 06:39,"42,834.44"
02-04 06:41,"42,842.71"
02-04 06:43,"42,809.14"
02-04 06:45,"42,804.81"
02-04 06:47,"42,795.04"
02-04 06:49,"42,787.56"
02-04 06:51,"42,787.99"
02-04 06:53,"42,774.40"
02-04 06:55,"42,770.10"
02-04 06:57,"42,776.87"
02-04 06:59,"42,754.58"
02-04 07:01,"42,740.78"
02-04 07:03,"42,766.33"
02-04 07:05,"42,793.57"
02-04 07:07,"42,789.39"
02-04 07:09,"42,800.94"
02-04 07:11,"42,810.61"
02-04 07:13,"42,798.28"
02-04 07:15,"42,798.43"
02-04 07:17,"42,800.44"
02-04 07:19,"42,786.83"
02-04 07:21,"42,787.11"
02-04 07:23,"42,786.34"
02-04 07:25,"42,800.27"
02-04 07:27,"42,797.72"
02-04 07:29,"42,804.24"
02-04 07:31,"42,818.45"
02-04 07:33,"42,816.66"
02-04 07:35,"42,808.82"
02-04 07:37,"42,798.94"
02-04 07:39,"42,804.32"
02-04 07:41,"42,804.52"
02-04 07:43,"42,806.44"
02-04 07:45,"42,805.59"
02-04 07:47,"42,801.63"
02-04 07:49,"42,801.92"
02-04 07:51,"42,805.50"
02-05 08:55,"42,995.16"
02-05 08:56,"42,997.48"
02-05 08:56,"42,997.48"
02-05 08:56,"42,997.48"
02-05 08:57,"42,981.41"
05-07 11:19,"63,970.25"
05-07 11:21,"63,785.63"
